ID	MVH_search_im_1	MVH_search_im_2	MVH_search_im_3	MVH_search_im_1_lp	MVH_search_im_2_lp	MVH_search_im_3_lp	MVH_search_im_1_lp_ex	MVH_search_im_2_lp_ex	MVH_search_im_3_lp_ex	MVH_search_im_1_lp_nwords	MVH_search_im_2_lp_nwords	MVH_search_im_3_lp_nwords	im_nwords_min	im_nwords_max	im_nwords_mean	MVH_search_im_1_lp_len	MVH_search_im_2_lp_len	MVH_search_im_3_lp_len	im_len_min	im_len_max	im_len_mean	total	immigrant	buitenlander	gelukszoeker	statushouder	allochtoon	vluchteling	expat	asielzoeker	immigrant_1	buitenlander_1	gelukszoeker_1	statushouder_1	allochtoon_1	vluchteling_1	expat_1	asielzoeker_1	immigrant_3	buitenlander_3	gelukszoeker_3	statushouder_3	allochtoon_3	vluchteling_3	expat_3	asielzoeker_3	base_lft	base_gender	base_opl	base_regio	base_polar	base_intpol	base_voteTK2017	base_voteTK2017_14_TEXT	MVH_att_im_1	MVH_att_im_2	MVH_att_im_3	MVH_att_importance_1	VVD	PVV	CDA	D66	GroenLinks	SP	PvdA	ChristenUnie	PvdD	50Plus	SGP	DENK	FvD	Andere_partij	Blank	I_do_not_know_yet	I_do_not_want_to_say	base_voteInt_18	base_voteInt_14_TEXT	att_im_mean	sum_parties	opl_3cat	ADMISSION_1	AZC_1	CAUSES_1	CRIME_1	CULTURE_RELIGION_1	Comments_1	DEBATE_1	ECONOMY_1	EFFECTIVE_1	FINANCIAL_SUPPORT_1	HOUSING_1	INTEGRATION_1	LANGUAGE_1	NEWS_1	ORIGIN_1	POLITICS_1	PROBLEMS_1	QUESTION_1	RACISM_1	SPECIFIC_1	STATISTICS_1	VALID_1	search query_1	ADMISSION_2	AZC_2	CAUSES_2	CRIME_2	CULTURE_RELIGION_2	Comments_2	DEBATE_2	ECONOMY_2	EFFECTIVE_2	FINANCIAL_SUPPORT_2	HOUSING_2	INTEGRATION_2	LANGUAGE_2	NEWS_2	ORIGIN_2	POLITICS_2	PROBLEMS_2	QUESTION_2	RACISM_2	SPECIFIC_2	STATISTICS_2	VALID_2	search query_2	ADMISSION_3	AZC_3	CAUSES_3	CRIME_3	CULTURE_RELIGION_3	Comments_3	DEBATE_3	ECONOMY_3	EFFECTIVE_3	FINANCIAL_SUPPORT_3	HOUSING_3	INTEGRATION_3	LANGUAGE_3	NEWS_3	ORIGIN_3	POLITICS_3	PROBLEMS_3	QUESTION_3	RACISM_3	SPECIFIC_3	STATISTICS_3	VALID_3	search query_3	total_valid	ADMISSION	AZC	CAUSES	CRIME	CULTURE_RELIGION	DEBATE	ECONOMY	EFFECTIVE	FINANCIAL_SUPPORT	HOUSING	INTEGRATION	LANGUAGE	NEWS	ORIGIN	POLITICS	PROBLEMS	QUESTION	RACISM	SPECIFIC	STATISTICS	VALID
12	migranten	vluchtelingen	dicussie andere landen	migranten	vluchtelingen	dicussie andere landen	migranten	vluchtelingen	dicussie andere landen	1	1	3	1	3	1.6666666666666667	9	13	22	9	22	14.666666666666666	migranten vluchtelingen dicussie andere landen	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	2	6	8	5.0	5.0	1		1	6	1	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			2.6666666666666665	1.0	3									1.0				0.0					0.0		0.0		1.0	migranten									1.0				0.0					0.0		0.0		1.0	vluchtelingen	0.0	0.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	dicussie andere landen	3.0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
13	migratie nederland	azc nederland	vluchtelingen oorzaak	migratie nederland	azc nederland	vluchtelingen oorzaak	migratie nederland	azc nederland	vluchtelingen oorzaak	2	2	2	2	2	2.0	18	13	21	13	21	17.333333333333332	migratie nederland azc nederland vluchtelingen oorzaak	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	24	2	7	8	1.0	7.0	5		7	7	7	4	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		BIJ1	7.0	3.0	3									1.0				0.0					0.0		0.0		1.0	migratie nederland	0.0	1.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	azc nederland	0.0	0.0	1.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	vluchtelingen oorzaak	3.0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
14	Integratie in nederland	Vluchtelingen	Inwoners van buiten nederland	integratie in nederland	vluchtelingen	inwoners van buiten nederland	integratie in nederland	vluchtelingen	inwoners van buiten nederland	3	1	4	1	4	2.6666666666666665	23	13	29	13	29	21.666666666666668	integratie in nederland vluchtelingen inwoners van buiten nederland	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	4	6	5.0	6.0	16		5	6	4	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			5.0	0.0	2	0.0	1.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	integratie in nederland									1.0				0.0					0.0		0.0		1.0	vluchtelingen									1.0				0.0					0.0		0.0		1.0	inwoners van buiten nederland	3.0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
15	Immigratie	Discriminatie	Uitzetting	immigratie	discriminatie	uitzetting	immigratie	discriminatie	uitzetting	1	1	1	1	1	1.0	10	13	10	10	13	11.0	immigratie discriminatie uitzetting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	2	4	11		0.0	17		4	5	4	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			4.333333333333333	1.0	2									1.0				0.0					0.0		0.0		1.0	immigratie	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	discriminatie	1.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	uitzetting	3.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1
16	Asielzoekers	Vluchtelingen	V	asielzoekers	vluchtelingen	v	asielzoekers	vluchtelingen	v	1	1	1	1	1	1.0	12	13	1	1	13	8.666666666666666	asielzoekers vluchtelingen v	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	40	1	7	11	4.0	3.0	6		5	3	4	3	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			4.0	1.0	3									1.0				0.0					0.0		0.0		1.0	asielzoekers									1.0				0.0					0.0		0.0		1.0	vluchtelingen																						0.0	v	2.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
17	Immigratie cijfers	Integratie migranten	Discriminatie migranten	immigratie cijfers	integratie migranten	discriminatie migranten	immigratie cijfers	integratie migranten	discriminatie migranten	2	2	2	2	2	2.0	18	20	23	18	23	20.333333333333332	immigratie cijfers integratie migranten discriminatie migranten	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	64	2	6	4	2.0	5.0	6		6	6	7	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			6.333333333333333	0.0	3	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	immigratie cijfers	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	integratie migranten	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	discriminatie migranten	3.0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1
18	Asielzoekers	Integratie cursus	Opvang buitenlanders	asielzoekers	integratie cursus	opvang buitenlanders	asielzoekers	integratie cursus	opvang buitenlanders	1	2	2	1	2	1.6666666666666667	12	17	20	12	20	16.333333333333332	asielzoekers integratie cursus opvang buitenlanders	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	58	2	4	12	7.0	6.0	1		3	4	4	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			3.6666666666666665	1.0	2									1.0				0.0					0.0		0.0		1.0	asielzoekers	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	integratie cursus	1.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	opvang buitenlanders	3.0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1
19	Immigratie	Sirie vluchtelingen	Vluchtelingen	immigratie	sirie vluchtelingen	vluchtelingen	immigratie	sirie vluchtelingen	vluchtelingen	1	2	1	1	2	1.3333333333333333	10	19	13	10	19	14.0	immigratie sirie vluchtelingen vluchtelingen	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	42	1	4	10	7.0	6.0	13		4	4	5	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0			4.333333333333333	1.0	2									1.0				0.0					0.0		0.0		1.0	immigratie	0.0	0.0	1.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	sirie vluchtelingen									1.0				0.0					0.0		0.0		1.0	vluchtelingen	3.0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
20	Hoeveel mensen vragen asiel aan per jaar	Waar wonen de minste buitenlanders	Mag iedereen hier komen wonen en werken	hoeveel mensen vragen asiel aan per jaar	waar wonen de minste buitenlanders	mag iedereen hier komen wonen en werken	hoeveel mensen vragen asiel aan per jaar	waar wonen de minste buitenlanders	mag iedereen hier komen wonen en werken	7	5	7	5	7	6.333333333333333	40	34	39	34	40	37.666666666666664	hoeveel mensen vragen asiel aan per jaar waar wonen de minste buitenlanders mag iedereen hier komen wonen en werken	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	2	7		0.0	16		2	2	3	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			2.3333333333333335	0.0	1	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	hoeveel mensen vragen asiel aan per jaar	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	waar wonen de minste buitenlanders	1.0	0.0	0.0	0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	mag iedereen hier komen wonen en werken	3.0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1
21	asielzoekers	expats procedures	IND	asielzoekers	expats procedures	ind	asielzoekers	expats procedures	ind	1	2	1	1	2	1.3333333333333333	12	17	3	3	17	10.666666666666666	asielzoekers expats procedures ind	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	32	1	6	10	8.0	9.0	1		5	6	7	4	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			6.0	2.0	3									1.0				0.0					0.0		0.0		1.0	asielzoekers	1.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	expats procedures	1.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	ind	3.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
