ID	MVH_search_cc_1	MVH_search_cc_2	MVH_search_cc_3	MVH_search_cc_1_lp	MVH_search_cc_2_lp	MVH_search_cc_3_lp	MVH_search_cc_1_lp_nwords	MVH_search_cc_2_lp_nwords	MVH_search_cc_3_lp_nwords	im_nwords_min	im_nwords_max	im_nwords_mean	MVH_search_cc_1_lp_len	MVH_search_cc_2_lp_len	MVH_search_cc_3_lp_len	im_len_min	im_len_max	im_len_mean	total	base_lft	base_gender	base_opl	base_regio	base_polar	base_intpol	MVH_att_cc_1	MVH_att_cc_2	MVH_att_importance_2	att_cc_mean	opl_3cat	ACTIVISME_1	CO2_1	Comments_1	DISCUSSIE_1	EFFECTIEF_1	ENERGIE_1	GELDIG_1	GEVOLG_1	INDIVIDUEEL_GEDRAG_1	INDUSTRIE_1	INFO_OPLOSSINGEN_1	INFO_STATUS_QUO_1	MILIEU_1	ONGECATEGORISEERD_1	OORZAKEN_1	POLITIEK_BELEID_1	SCEPTICI_1	SCEPTICI_PERSONEN_1	SPECIFIEK_1	STIKSTOF_1	TAAL_1	VERVOER_1	VOEDSELINDUSTRIE_1	VRAAG_1	search query_1	ACTIVISME_2	CO2_2	Comments_2	DISCUSSIE_2	EFFECTIEF_2	ENERGIE_2	GELDIG_2	GEVOLG_2	INDIVIDUEEL_GEDRAG_2	INDUSTRIE_2	INFO_OPLOSSINGEN_2	INFO_STATUS_QUO_2	MILIEU_2	ONGECATEGORISEERD_2	OORZAKEN_2	POLITIEK_BELEID_2	SCEPTICI_2	SCEPTICI_PERSONEN_2	SPECIFIEK_2	STIKSTOF_2	TAAL_2	VERVOER_2	VOEDSELINDUSTRIE_2	VRAAG_2	search query_2	ACTIVISME_3	CO2_3	Comments_3	DISCUSSIE_3	EFFECTIEF_3	ENERGIE_3	GELDIG_3	GEVOLG_3	INDIVIDUEEL_GEDRAG_3	INDUSTRIE_3	INFO_OPLOSSINGEN_3	INFO_STATUS_QUO_3	MILIEU_3	ONGECATEGORISEERD_3	OORZAKEN_3	POLITIEK_BELEID_3	SCEPTICI_3	SCEPTICI_PERSONEN_3	SPECIFIEK_3	STIKSTOF_3	TAAL_3	VERVOER_3	VOEDSELINDUSTRIE_3	VRAAG_3	search query_3	total_valid	ACTIVISME	CO2	DISCUSSIE	EFFECTIEF	ENERGIE	GELDIG	GEVOLG	INDIVIDUEEL_GEDRAG	INDUSTRIE	INFO_OPLOSSINGEN	INFO_STATUS_QUO	MILIEU	ONGECATEGORISEERD	OORZAKEN	POLITIEK_BELEID	SCEPTICI	SCEPTICI_PERSONEN	SPECIFIEK	STIKSTOF	TAAL	VERVOER	VOEDSELINDUSTRIE	VRAAG
340	Klimaat	Verandering	Voorkomen	klimaat	verandering	voorkomen	1	1	1	1	1	1.0	7	11	9	7	11	9.0	klimaat verandering voorkomen	62	1	6	12	3.0	6.0	6	4	4	5.0	3					1.0		1.0												0.0		0.0			0.0	klimaat					0.0		1.0												0.0		0.0			0.0	verandering	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	voorkomen	3.0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
341	Klimaat	Politiek	Samenleving	klimaat	politiek	samenleving	1	1	1	1	1	1.0	7	8	11	7	11	8.666666666666666	klimaat politiek samenleving	60	1	2	7		0.0	4	4	3	4.0	1					1.0		1.0												0.0		0.0			0.0	klimaat	0.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	politiek	0.0	0.0		1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	samenleving	3.0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
342	Nieuws tweede kamer klimaat	Klimaatakkoord	Klimaatverandering	nieuws tweede kamer klimaat	klimaatakkoord	klimaatverandering	4	1	1	1	4	2.0	27	14	18	14	27	19.666666666666668	nieuws tweede kamer klimaat klimaatakkoord klimaatverandering	25	2	6	4	3.0	6.0	7	6	4	6.5	3	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	nieuws tweede kamer klimaat	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatakkoord					1.0		1.0												0.0		0.0			0.0	klimaatverandering	3.0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
343	Klimaat verandering	Klimaat verandering bewijs	Klimaat verandering hoax	klimaat verandering	klimaat verandering bewijs	klimaat verandering hoax	2	3	3	2	3	2.6666666666666665	19	26	24	19	26	23.0	klimaat verandering klimaat verandering bewijs klimaat verandering hoax	36	1	6	2	7.0	6.0	5	5	3	5.0	3					1.0		1.0												0.0		0.0			0.0	klimaat verandering	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat verandering bewijs	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat verandering hoax	3.0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
344	Klimaat verandering	Klimaat 2020	Klimaat in de toekomst	klimaat verandering	klimaat 2020	klimaat in de toekomst	2	2	4	2	4	2.6666666666666665	19	12	22	12	22	17.666666666666668	klimaat verandering klimaat 2020 klimaat in de toekomst	18	2	2	12	5.0	0.0	4	5	3	4.5	1					1.0		1.0												0.0		0.0			0.0	klimaat verandering	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat 2020	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat in de toekomst	3.0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
346	Klimaat problemen	Klimaat in Nederland	Klimaat discussie	klimaat problemen	klimaat in nederland	klimaat discussie	2	3	2	2	3	2.3333333333333335	17	20	17	17	20	18.0	klimaat problemen klimaat in nederland klimaat discussie	52	1	7	12	5.0	7.0	3	5	4	4.0	3	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat problemen					0.0		1.0												0.0		0.0			1.0	klimaat in nederland	0.0	0.0		1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat discussie	3.0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
347	Klimaatverandering	Klimaat standpunt	Het klimaat helpen	klimaatverandering	klimaat standpunt	het klimaat helpen	1	2	3	1	3	2.0	18	17	18	17	18	17.666666666666668	klimaatverandering klimaat standpunt het klimaat helpen	30	2	6	8	4.0	6.0	6	5	4	5.5	3					1.0		1.0												0.0		0.0			0.0	klimaatverandering	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat standpunt	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	het klimaat helpen	3.0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
348	Klimaatverandering	Klimaat	Verandering van het klimaat	klimaatverandering	klimaat	verandering van het klimaat	1	1	4	1	4	2.0	18	7	27	7	27	17.333333333333332	klimaatverandering klimaat verandering van het klimaat	41	1	7	7	5.0	6.0	7	7	4	7.0	3					1.0		1.0												0.0		0.0			0.0	klimaatverandering					1.0		1.0												0.0		0.0			0.0	klimaat	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	verandering van het klimaat	3.0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
349	Milieu	Klimaat	Bossen en klimaat	milieu	klimaat	bossen en klimaat	1	1	3	1	3	1.6666666666666667	6	7	17	6	17	10.0	milieu klimaat bossen en klimaat	42	2	4	6	5.0	2.0	5	5	4	5.0	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	milieu					1.0		1.0												0.0		0.0			0.0	klimaat	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	bossen en klimaat	3.0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
350	Klimaatdoelen kabinet	Grootste problemen klimaat	Klimaat veranderingen gevolgen lange termijn	klimaatdoelen kabinet	grootste problemen klimaat	klimaat veranderingen gevolgen lange termijn	2	3	5	2	5	3.3333333333333335	21	26	44	21	44	30.333333333333332	klimaatdoelen kabinet grootste problemen klimaat klimaat veranderingen gevolgen lange termijn	30	2	5	5	4.0	6.0	6	6	4	6.0	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatdoelen kabinet	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	grootste problemen klimaat	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat veranderingen gevolgen lange termijn	3.0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
351	Klimaatbeleid	Klimaatverandering	Wat kan helpen voor klimaatverandering	klimaatbeleid	klimaatverandering	wat kan helpen voor klimaatverandering	1	1	5	1	5	2.3333333333333335	13	18	38	13	38	23.0	klimaatbeleid klimaatverandering wat kan helpen voor klimaatverandering	57	2	3	7		0.0	6	4	4	5.0	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatbeleid					1.0		1.0												0.0		0.0			0.0	klimaatverandering	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	wat kan helpen voor klimaatverandering	3.0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1
353	greenpeace	temperatuur	opwarming	greenpeace	temperatuur	opwarming	1	1	1	1	1	1.0	10	11	9	9	11	10.0	greenpeace temperatuur opwarming	59	1	6	8	2.0	6.0	7	7	4	7.0	3	1.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	greenpeace	0.0	0.0		0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	temperatuur	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	opwarming	3.0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
354	Wanneer is de volgende klimaattop	Nederlandse actuele klimaatmaatregelen	Klimaatsubsidies	wanneer is de volgende klimaattop	nederlandse actuele klimaatmaatregelen	klimaatsubsidies	5	3	1	1	5	3.0	33	38	16	16	38	29.0	wanneer is de volgende klimaattop nederlandse actuele klimaatmaatregelen klimaatsubsidies	60	1	4	1	6.0	6.0	6	6	4	6.0	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	wanneer is de volgende klimaattop	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	nederlandse actuele klimaatmaatregelen	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatsubsidies	3.0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
355	klimaatbeheersing	maatregelen klimaatbeheersing	congressen klimaat	klimaatbeheersing	maatregelen klimaatbeheersing	congressen klimaat	1	2	2	1	2	1.6666666666666667	17	29	18	17	29	21.333333333333332	klimaatbeheersing maatregelen klimaatbeheersing congressen klimaat	64	1	4	7	5.0	6.0	6	5	4	5.5	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatbeheersing	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	maatregelen klimaatbeheersing	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	congressen klimaat	3.0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
356	Klimaat Nederland in 2050	Stijging zeespiegel 2050	Klimaatveranderingen wereldwijd	klimaat nederland in 2050	stijging zeespiegel 2050	klimaatveranderingen wereldwijd	4	3	2	2	4	3.0	25	24	31	24	31	26.666666666666668	klimaat nederland in 2050 stijging zeespiegel 2050 klimaatveranderingen wereldwijd	26	2	7	7	8.0	5.0	5	4	3	4.5	3	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat nederland in 2050	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	stijging zeespiegel 2050					1.0		1.0												0.0		0.0			0.0	klimaatveranderingen wereldwijd	3.0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
357	Klimaatproblemen	Duurzame energie	Windmolenpark	klimaatproblemen	duurzame energie	windmolenpark	1	2	1	1	2	1.3333333333333333	16	16	13	13	16	15.0	klimaatproblemen duurzame energie windmolenpark	47	2	3	12	5.0	1.0	3	4	3	3.5	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatproblemen	0.0	0.0		0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	duurzame energie	0.0	0.0		0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	windmolenpark	3.0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
358	klimaat verandereringen	klimaat verandereringen laatse nieuws	klimaat verandereringen update	klimaat verandereringen	klimaat verandereringen laatse nieuws	klimaat verandereringen update	2	4	3	2	4	3.0	23	37	30	23	37	30.0	klimaat verandereringen klimaat verandereringen laatse nieuws klimaat verandereringen update	51	1	2	4	4.0	1.0	6	2	5	4.0	1					1.0		1.0												0.0		0.0			0.0	klimaat verandereringen	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat verandereringen laatse nieuws	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat verandereringen update	3.0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
359	Broeikasgassen	Klimaat	Opwarming	broeikasgassen	klimaat	opwarming	1	1	1	1	1	1.0	14	7	9	7	14	10.0	broeikasgassen klimaat opwarming	61	1	1	7	3.0	1.0	7	5	4	6.0	1	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	broeikasgassen					1.0		1.0												0.0		0.0			0.0	klimaat	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	opwarming	3.0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
360	statestieken klimaatontkenners	grootste vervuilende landen	klimaatprognoses	statestieken klimaatontkenners	grootste vervuilende landen	klimaatprognoses	2	3	1	1	3	2.0	30	27	16	16	30	24.333333333333332	statestieken klimaatontkenners grootste vervuilende landen klimaatprognoses	27	2	6	2	3.0	1.0	7	7	5	7.0	3	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	statestieken klimaatontkenners	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	grootste vervuilende landen	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatprognoses	3.0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
361	Milieuvervuiling	Klimaatneutraal	Afvalstoffen	milieuvervuiling	klimaatneutraal	afvalstoffen	1	1	1	1	1	1.0	16	15	12	12	16	14.333333333333334	milieuvervuiling klimaatneutraal afvalstoffen	48	1	6	12	2.0	5.0	7	7	5	7.0	3	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	milieuvervuiling	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatneutraal	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	afvalstoffen	3.0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
362	klimaatverandering	zonnepanelen	thuisaccus	klimaatverandering	zonnepanelen	thuisaccus	1	1	1	1	1	1.0	18	12	10	10	18	13.333333333333334	klimaatverandering zonnepanelen thuisaccus	47	1	7	3	4.0	6.0	7	7	4	7.0	3					1.0		1.0												0.0		0.0			0.0	klimaatverandering	0.0	0.0		0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	zonnepanelen	0.0	0.0		0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	thuisaccus	3.0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
363	Klimaat	Climate change	Opwarming aarde	klimaat	climate change	opwarming aarde	1	2	2	1	2	1.6666666666666667	7	14	15	7	15	12.0	klimaat climate change opwarming aarde	25	2	6	12	5.0	9.0	6	6	5	6.0	3					1.0		1.0												0.0		0.0			0.0	klimaat					1.0		1.0												0.0		1.0			0.0	climate change	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	opwarming aarde	3.0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
365	Klimaat	Zeestijging	Temperatuurstijging	klimaat	zeestijging	temperatuurstijging	1	1	1	1	1	1.0	7	11	19	7	19	12.333333333333334	klimaat zeestijging temperatuurstijging	66	2	7	5	4.0	6.0	6	6	4	6.0	3					1.0		1.0												0.0		0.0			0.0	klimaat	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	zeestijging	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	temperatuurstijging	3.0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
366	Global warming	KNMI	Buienradar	global warming	knmi	buienradar	2	1	1	1	2	1.3333333333333333	14	4	10	4	14	9.333333333333334	global warming knmi buienradar	54	1	5	4	3.0	7.0	3	4	3	3.5	2	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	global warming	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	knmi	0.0	0.0		0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	buienradar	3.0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
367	Klimaat	CO2-neutraal	Voetstap	klimaat	co2neutraal	voetstap	1	1	1	1	1	1.0	7	11	8	7	11	8.666666666666666	klimaat co2neutraal voetstap	54	1	4	3	10.0	9.0	1	1	2	1.0	2					1.0		1.0												0.0		0.0			0.0	klimaat	0.0	1.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	co2neutraal	0.0	0.0		0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	voetstap	3.0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
368	Opwarming van de aarde	Historische ijstijden	Zonnecyclus door de eeuwen heen	opwarming van de aarde	historische ijstijden	zonnecyclus door de eeuwen heen	4	2	5	2	5	3.6666666666666665	22	21	31	21	31	24.666666666666668	opwarming van de aarde historische ijstijden zonnecyclus door de eeuwen heen	54	1	4	12	10.0	3.0	1	3	2	2.0	2	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	opwarming van de aarde	0.0	0.0		0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	historische ijstijden	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	zonnecyclus door de eeuwen heen	3.0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
369	Klimaatverandering	Klimaatstijging	CO2 uitstoot	klimaatverandering	klimaatstijging	co2 uitstoot	1	1	2	1	2	1.3333333333333333	18	15	12	12	18	15.0	klimaatverandering klimaatstijging co2 uitstoot	29	2	6	12	7.0	5.0	4	3	3	3.5	3					1.0		1.0												0.0		0.0			0.0	klimaatverandering					1.0		1.0												0.0		0.0			0.0	klimaatstijging	0.0	1.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	co2 uitstoot	3.0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
371	Klimat en samenleving	Klimat en politiek	Klimat in samenleving en politiek 2020	klimat en samenleving	klimat en politiek	klimat in samenleving en politiek 2020	3	3	6	3	6	4.0	21	18	38	18	38	25.666666666666668	klimat en samenleving klimat en politiek klimat in samenleving en politiek 2020	30	2	7	12	0.0	6.0	7	7	5	7.0	3	0.0	0.0		1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimat en samenleving	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimat en politiek	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimat in samenleving en politiek 2020	3.0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
